module	tier	status	value_model	apqc	models	routes	priority
pos_self_order_pine_labs	baseline	todo	chain	3.0	0	2	2
pos_self_order_razorpay	baseline	todo	chain	3.0	0	2	2
pos_self_order_stripe	baseline	todo	chain	3.0	0	2	2
product_margin	baseline	todo	support	2.0	1	0	2
project_todo	baseline	todo	shop	5.0	1	0	2
purchase_edi_ubl_bis3	baseline	todo	support	4.2	1	0	2
purchase_stock	baseline	todo	support	4.2	1	0	2
sale_crm	baseline	todo	chain	3.0	1	0	2
sale_edi_ubl	baseline	todo	chain	3.0	1	0	2
snailmail	baseline	todo	support	9.4	1	0	2
stock_sms	baseline	todo	chain	4.0	1	0	2
test_auth_custom	test	todo	support	13.0	0	2	2
test_html_field_history	test	todo	support	13.0	1	0	2
test_inherit_depends	test	todo	support	13.0	1	0	2
test_main_flows	test	todo	support	13.0	1	0	2
test_resource	test	todo	support	13.0	1	0	2
test_spreadsheet	test	todo	support	13.0	1	0	2
test_uninstall	test	todo	support	13.0	1	0	2
uom	baseline	todo	support	2.0	1	0	2
website_mail	baseline	todo	network	3.0	0	2	2
website_mass_mailing	baseline	todo	network	3.0	0	2	2
website_sale_collect	baseline	todo	network	3.0	0	2	2
website_sale_stock	baseline	todo	network	3.0	0	2	2
auth_totp_mail	baseline	todo	support	8.0	0	1	1
cloud_storage	baseline	todo	support	13.0	0	1	1
iot_drivers	baseline	todo	support	13.0	0	1	1
payment_authorize	baseline	todo	network	9.0	0	1	1
payment_custom	baseline	todo	network	9.0	0	1	1
payment_demo	baseline	todo	network	9.0	0	1	1
payment_dpo	baseline	todo	network	9.0	0	1	1
portal_rating	baseline	todo	network	6.0	0	1	1
pos_adyen	baseline	todo	chain	3.0	0	1	1
pos_mercado_pago	baseline	todo	chain	3.0	0	1	1
pos_mollie	baseline	todo	chain	3.0	0	1	1
pos_qfpay	baseline	todo	chain	3.0	0	1	1
pos_restaurant_adyen	baseline	todo	chain	3.0	0	1	1
pos_self_order_viva_com	baseline	todo	chain	3.0	0	1	1
pos_viva_com	baseline	todo	chain	3.0	0	1	1
project_purchase	baseline	todo	shop	5.0	0	1	1
sale_gelato	baseline	todo	chain	3.0	0	1	1
test_assetsbundle	test	todo	support	13.0	0	1	1
website_event_booth_sale	baseline	todo	network	3.0	0	1	1
website_event_sale	baseline	todo	network	3.0	0	1	1
website_event_track_live	baseline	todo	network	3.0	0	1	1
website_google_map	baseline	todo	network	3.0	0	1	1
website_livechat	baseline	todo	network	3.0	0	1	1
website_mail_group	baseline	todo	network	3.0	0	1	1
website_sale_mondialrelay	baseline	todo	network	3.0	0	1	1
website_sale_mrp	baseline	todo	network	3.0	0	1	1
website_sale_slides	baseline	todo	network	3.0	0	1	1
website_sale_stock_wishlist	baseline	todo	network	3.0	0	1	1
account_add_gln	baseline	todo	support	9.0	0	0	0
account_fleet	baseline	todo	support	9.0	0	0	0
account_peppol_advanced_fields	baseline	todo	support	9.0	0	0	0
account_qr_code_emv	baseline	todo	support	9.0	0	0	0
account_qr_code_sepa	baseline	todo	support	9.0	0	0	0
account_tax_python	baseline	todo	support	9.0	0	0	0
attachment_indexation	baseline	todo	support	13.0	0	0	0
auth_passkey_portal	baseline	todo	support	8.0	0	0	0
